"ReadCode"	"ConceptId"	"term"	"DescriptionId"
"4Q3G0"	"957131000000106"	"Serum lipoprotein(a) level"	"2440371000000112"
"4Q3H"	"1031611000000105"	"Cortisol binding globulin level"	"2595031000000118"
"4Q3H0"	"1002611000000106"	"Serum cortisol binding globulin concentration"	"2556081000000118"
"4Q3H0"	"914251000000107"	"Serum cortisol binding globulin concentration"	"2349181000000111"
"4Q3J"	"1031581000000104"	"Calprotectin level"	"2596321000000111"
"4Q3J"	"372011000000108"	"Calprotectin level"	"731011000000115"
"4Q3K"	"1029441000000106"	"Retinol binding protein level"	"2604301000000115"
"4Q3L"	"784261000000103"	"High sensitivity cardiac troponin T level"	"1753591000000116"
"4Q3M"	"1029931000000108"	"Alpha-1-antitrypsin level"	"2596621000000118"
"4Q3N0"	"816031000000109"	"Pregnancy associated plasma protein A multiple of median measurement"	"2126391000000114"
"4Q3P"	"1006411000000109"	"CART (cocaine and amphetamine regulated transcript) peptide level"	"2551411000000110"
"4Q3P"	"829231000000104"	"Cocaine and amphetamine regulated transcript peptide level"	"2181131000000111"
"4Q3P0"	"1011521000000105"	"Plasma CART (cocaine and amphetamine regulated transcript) peptide level"	"2565081000000117"
"4Q3P0"	"957151000000104"	"Plasma CART (cocaine and amphetamine regulated transcript) peptide level"	"2440351000000115"
"4Q3Q"	"1030001000000105"	"Transcobalamin level"	"2596881000000116"
"4Q3R"	"1011081000000102"	"Serum pregnancy associated plasma protein A concentration"	"2582431000000118"
"4Q3R"	"958461000000106"	"Serum pregnancy associated plasma protein A concentration"	"2443421000000112"
"4Q50"	"1018971000000107"	"Asparagine level"	"2575241000000112"
"4Q51"	"1031171000000105"	"beta hydroxybutyrate level"	"2596561000000110"
"4Q52"	"1021051000000104"	"Cystine level"	"2569881000000113"
"4Q53"	"1006791000000105"	"Glycine level"	"2561541000000116"
"4Q60"	"1020591000000108"	"Pyruvate level"	"2580761000000115"
"4Q61"	"1018881000000102"	"Cis-4-decanoate level"	"2575221000000117"
"4Q62"	"1020611000000100"	"Pyridoxic acid level"	"2558371000000117"
"4Q63"	"1020861000000104"	"Trimethylamine level"	"2575501000000112"
"4Q64"	"1028181000000100"	"Ethylene glycol level"	"2596351000000118"
"4Q65"	"1018671000000100"	"Glycolate level"	"2566031000000114"
"4Q660"	"992731000000102"	"Fractional excretion of urate"	"2572141000000113"
"4Q67"	"1000251000000107"	"Trimethylamine-N-oxide level"	"2584261000000119"
"4Q67"	"802451000000108"	"Trimethylamine-N-oxide level"	"1794091000000118"
"4Q70"	"1028031000000103"	"Thallium level"	"2596491000000117"
"4Q720"	"1018371000000108"	"Fractional excretion of calcium"	"2575161000000118"
"4Q721"	"998341000000105"	"Calcium adjusted level"	"2572771000000115"
"4Q73"	"1031061000000104"	"Copper level"	"2599311000000114"
"4Q75"	"1028051000000105"	"Lead level"	"2599211000000116"
"4Q760"	"1014461000000104"	"Fractional excretion of magnesium"	"2562521000000116"
"4Q77"	"1031071000000106"	"Silver level"	"2596451000000113"
"4Q78"	"1028221000000105"	"Zinc level"	"2602591000000111"
"4Q79"	"1028211000000104"	"Ubiquinone level"	"2603621000000116"
"4Q7A"	"1000271000000103"	"Manganese level"	"2569561000000119"
"4Q81"	"1020821000000107"	"Galactose level"	"2569861000000116"
"4Q82"	"1018891000000100"	"Mucopolysaccharide level"	"2558111000000113"
"4Q83"	"996491000000105"	"Estimated average glucose level"	"2581701000000113"
"4Q90"	"1019161000000106"	"Myeloperoxidase level"	"2558161000000110"
"4Q91"	"1020811000000101"	"Galactokinase level"	"2558411000000118"
"4Q910"	"1011181000000103"	"Whole blood galactokinase activity"	"2574341000000116"
"4Q910"	"958781000000108"	"Whole blood galactokinase activity"	"2444231000000110"
"4Q92"	"1019151000000108"	"Lysosomal enzyme level"	"2563061000000113"
"4Q93"	"1021071000000108"	"Neurone-specific enolase level"	"2566411000000112"
"4Q94"	"1021241000000106"	"Steroid sulphatase level"	"2580811000000110"
"4Q940"	"1011191000000101"	"Whole blood steroid sulphatase activity"	"2586541000000110"
"4Q940"	"958821000000100"	"Whole blood steroid sulphatase activity"	"2444321000000118"
"4Q96"	"1018731000000107"	"Glutathione peroxidase level"	"2569591000000113"
"4Q960"	"1011201000000104"	"Whole blood glutathione peroxidase activity"	"2582471000000116"
"4Q960"	"958841000000107"	"Whole blood glutathione peroxidase activity"	"2444371000000119"
"4Q97"	"1020601000000102"	"Elastase level"	"2563241000000115"
"4Q98"	"1019171000000104"	"Glycoasparaginase level"	"2566121000000111"
"4Q99"	"1027881000000109"	"Acetylcholinesterase level"	"2603571000000118"
"4Q9A"	"1002111000000101"	"Alpha-glucosidase level"	"2556001000000111"
"4Q9A0"	"1011211000000102"	"Blood spot alpha-glucosidase level"	"2557111000000112"
"4Q9A0"	"958861000000108"	"Blood spot alpha-glucosidase level"	"2444421000000114"
"4Q9B"	"1006581000000101"	"Tryptase level"	"2578011000000114"
"4Q9C0"	"1018381000000105"	"Fractional excretion of amylase"	"2579461000000110"
"4QA0"	"1020721000000100"	"7-Dehydrocholesterol level"	"2558391000000118"
"4QA1"	"850991000000104"	"Triglyceride level"	"2204851000000114"
"4QA2"	"871481000000104"	"Behenic acid level"	"2251561000000115"
"4QA2"	"998121000000101"	"Behenic acid level"	"2569281000000114"
"4QA3"	"1002551000000106"	"Eicosatrienoic acid level"	"2584671000000112"
"4QA3"	"872161000000108"	"Eicosatrienoic acid level"	"2253051000000110"
"4QA4"	"1005941000000109"	"Essential fatty acids profile"	"2577941000000113"
"4QA4"	"872611000000101"	"Essential fatty acids profile"	"2258071000000112"
"4QA5"	"872921000000103"	"Heptacosanoic acid level"	"2254651000000117"
"4QA5"	"998371000000104"	"Heptacosanoic acid level"	"2559971000000111"
"4QA6"	"872951000000108"	"Lignoceric acid level"	"2254711000000110"
"4QA6"	"998401000000102"	"Lignoceric acid level"	"2576941000000110"
"4QA7"	"789361000000108"	"Linoleic acid level"	"2254761000000112"
"4QA7"	"998391000000100"	"Linoleic acid level"	"2555521000000118"
"4QA8"	"872991000000100"	"Octacosanoic acid level"	"2254811000000117"
"4QA8"	"998381000000102"	"Octacosanoic acid level"	"2576931000000118"
"4QA9"	"873041000000103"	"Pentacosanoic acid level"	"2255711000000114"
"4QAA"	"873091000000108"	"Tricosanoic acid level"	"2255081000000117"
"4QAA"	"998411000000100"	"Tricosanoic acid level"	"2576951000000113"
"4QB0"	"1018931000000105"	"Pyridoxal 5 phosphate level"	"2575231000000115"
"4QB1"	"1031041000000100"	"Beta carotene level"	"2595981000000118"
"4QB2"	"1027701000000105"	"Alpha carotene level"	"2595911000000113"
"4QB3"	"1030301000000108"	"Carotene level"	"2596021000000114"
"4QB40"	"1031911000000102"	"Vitamin D2 level"	"2596551000000112"
"4QB40"	"195301000000102"	"Vitamin D2 level"	"1735221000000119"
"4QB41"	"1030461000000104"	"Vitamin D3 level"	"2596541000000114"
"4QB42"	"997751000000106"	"25-Hydroxyvitamin D2 level"	"2581861000000115"
"4QB43"	"193881000000100"	"25-Hydroxy vitamin D3 level"	"1735401000000110"
"4QB43"	"193881000000100"	"25-Hydroxy vitamin D3 measurement"	"289661000000112"
"4QB43"	"997741000000108"	"25-Hydroxyvitamin D3 level"	"2559871000000115"
"4QB44"	"996641000000102"	"Combined total vitamin D2 and D3 level"	"2559721000000114"
"4QB46"	"793871000000106"	"Total 25-hydroxyvitamin D level"	"2108191000000115"
"4QB47"	"933121000000103"	"Serum total 25-hydroxy vitamin D level"	"2402891000000110"
"4QC00"	"912241000000101"	"Serum procollagen type III N-terminal propeptide level"	"2344721000000110"
"4QC2"	"1020341000000108"	"Calcium phosphate level"	"2558321000000116"
"4QC3"	"1020351000000106"	"Calcium oxalate level"	"2580731000000113"
"4QC4"	"1030981000000104"	"Procollagen type I amino-terminal propeptide level"	"2603581000000116"
"4QC40"	"1002651000000105"	"Serum procollagen type I N-terminal propeptide level"	"2584681000000114"
"4QC40"	"912261000000100"	"Serum procollagen type I N-terminal propeptide level"	"2344771000000114"
"4QC5"	"1007831000000100"	"Calculus magnesium ammonium phosphate content"	"2551591000000117"
"4QC6"	"1026511000000102"	"Heptaporphyrin level"	"2597221000000118"
"4QC6"	"205741000000100"	"Heptaporphyrin level"	"316001000000117"
"4QC60"	"1001741000000105"	"Faecal heptaporphyrin content"	"2573141000000115"
"4QC60"	"897561000000106"	"Faecal heptaporphyrin content"	"2309121000000117"
"4QC7"	"1026521000000108"	"Hexaporphyrin level"	"2597201000000110"
"4QC70"	"1001751000000108"	"Faecal hexaporphyrin content"	"2555941000000119"
"4QC70"	"897581000000102"	"Faecal hexaporphyrin content"	"2309171000000118"
"4QC8"	"1027331000000100"	"Isocoproporphyrin level"	"2597211000000112"
"4QC8"	"205761000000104"	"Isocoproporphyrin level"	"316041000000119"
"4QC80"	"1001761000000106"	"Faecal isocoproporphyrin content"	"2560971000000110"
"4QC80"	"897601000000106"	"Faecal isocoproporphyrin content"	"2309221000000114"
"4QC9"	"1026531000000105"	"Pentaporphyrin level"	"2597231000000116"
"4QC9"	"205771000000106"	"Pentaporphyrin level"	"316061000000118"
"4QC90"	"1001771000000104"	"Faecal pentaporphyrin content"	"2573151000000117"
"4QC90"	"897621000000102"	"Faecal pentaporphyrin content"	"2309271000000113"
"4QCA"	"1016431000000103"	"Uroporphyrin level"	"2580231000000118"
"4QCA"	"205781000000108"	"Uroporphyrin level"	"316081000000110"
"4QCB"	"1016471000000101"	"Porphyrin studies"	"2583251000000115"
"4QCB"	"199601000000108"	"Porphyrin studies"	"301901000000112"
"4QCC"	"1031601000000108"	"Acylcarnitine level"	"2595051000000113"
"4QCC0"	"1000221000000102"	"Serum acylcarnitine level"	"2572951000000114"
"4QCC0"	"909931000000106"	"Serum acylcarnitine level"	"2352121000000118"
"4QCD"	"1029371000000106"	"Quinidine level"	"2596301000000119"
"4QCD0"	"1003861000000103"	"Serum quinidine concentration"	"2556171000000116"
"4QCD0"	"902481000000107"	"Serum quinidine concentration"	"2321131000000114"
"4QCE1"	"1003351000000105"	"Conjugated bilirubin level"	"2564131000000118"
"4QCE1"	"754931000000106"	"Conjugated bilirubin level"	"1660891000000112"
"4Z0"	"992901000000105"	"Infertility studies"	"2559271000000119"
"4Z1"	"903261000000109"	"Chronic kidney disease laboratory study"	"2323001000000115"
"5119"	"931121000000102"	"Imaging of brain requested"	"2386261000000110"
"513Z"	"284401000000107"	"Radiology procedures"	"490491000000114"
"5374"	"1103821000000104"	"Mammography offered"	"2763311000000110"
"5376"	"758681000000106"	"Mammography attended"	"1672591000000117"
"584A"	"866481000000104"	"Dating obstetric ultrasound scan"	"2239591000000114"
"584G0"	"815851000000100"	"Nuchal translucency multiple of median"	"2125971000000115"
"58583"	"787541000000108"	"Highest brachial systolic pressure"	"1760931000000113"
"585H0"	"809081000000100"	"Abdominal aortic aneurysm screen ultrasound scan normal"	"2111831000000118"
"585H1"	"202551000000101"	"Renal ultrasound normal"	"309001000000112"
"585I0"	"809101000000106"	"Abdominal aortic aneurysm screen ultrasound scan abnormal"	"2111871000000116"
"585I1"	"202541000000104"	"Renal ultrasound abnormal"	"308981000000110"
"585n"	"864421000000107"	"TBPI - toe brachial pressure index"	"2234871000000111"
"585n0"	"869391000000102"	"Left toe brachial pressure index"	"2247221000000118"
"585n1"	"869411000000102"	"Right toe brachial pressure index"	"2247261000000114"
"585o"	"781671000000105"	"Left peroneal doppler pressure"	"1747631000000113"
"585p"	"781681000000107"	"Right peroneal doppler pressure"	"1747651000000118"
"585q"	"713421000000108"	"Left anterior tibial doppler pressure"	"1564261000000115"
"585q"	"713421000000108"	"Measurement of left anterior tibial doppler pressure"	"1736751000000113"
"585r"	"713431000000105"	"Measurement of right anterior tibial doppler pressure"	"1736771000000116"
"585r"	"713431000000105"	"Right anterior tibial doppler pressure"	"1564281000000112"
"58C5"	"755131000000105"	"Clinical photograph taken by general practitioner"	"1661661000000111"
"58DA"	"275631000000109"	"Ultrasound scan of back"	"471941000000111"
"5C020"	"869861000000103"	"Radionuclide myocardial perfusion stress study using Tc-99m MIBI (technetium Tc-99m methoxyisobutylisonitrile) normal"	"2248161000000118"
"5C020"	"869861000000103"	"Radionuclide myocardial perfusion stress study using Tc-99m MIBI normal"	"2256841000000110"
"5C13"	"955491000000106"	"Old cerebral infarction on imaging"	"2436731000000112"
"6110"	"526921000000102"	"Contraceptive advice for patients with epilepsy"	"1175991000000119"
"613"	"575601000000106"	"Contraception from other agency"	"1278561000000111"
"613"	"575601000000106"	"Contraceptn from other agency"	"1278581000000119"
"6131"	"575601000000106"	"Contraception from other agency"	"1278561000000111"
"6132"	"575601000000106"	"Contraception from other agency"	"1278561000000111"
"6133"	"575601000000106"	"Contraception from other agency"	"1278561000000111"
"6134"	"534621000000103"	"Sheath used from other agency"	"1193481000000119"
"613Z"	"575601000000106"	"Contraception from other agency"	"1278561000000111"
"61511"	"341391000000105"	"Insertion of T shaped 375 millimetres squared copper coated intrauterine contraceptive device"	"1147621000000117"
"615K"	"198541000000102"	"Intrauterine contraceptive device annual review"	"299351000000117"
"615L"	"199531000000103"	"Intrauterine contraceptive device 6 week check"	"301741000000113"
"615M"	"199561000000108"	"Intrauterine contraceptive device annual review by telephone"	"301811000000119"
"615N"	"1087981000000107"	"Intrauterine contraceptive device fitted by other GP (general practitioner) practice"	"2725391000000110"
"615P"	"320211000000101"	"Intrauterine contraceptive device fitted by other healthcare provider"	"585341000000113"
"615P0"	"887421000000100"	"Hormone releasing intrauterine contraceptive device fitted by other healthcare provider"	"2286421000000110"
"615Q"	"320241000000100"	"Intrauterine contraceptive device removed by other healthcare provider"	"585401000000117"
"615R"	"320271000000106"	"Intrauterine contraceptive device checked by other healthcare provider"	"585461000000118"
"615S"	"285621000000102"	"Mirena coil check"	"493011000000116"
"615T"	"826471000000107"	"Intrauterine contraceptive device threads seen"	"2149801000000115"
"615V"	"867561000000109"	"Local anaesthetic nerve block for fitting of IUCD (intrauterine contraceptive device) offered"	"2242521000000118"
"6175"	"838851000000103"	"Contraceptive sheath offered"	"2177061000000119"
"61F5"	"876731000000103"	"Postcoital intrauterine contraceptive device offered"	"2263191000000111"
"61J1"	"918531000000105"	"Combined oral contraceptive pill contraindicated"	"2358681000000112"
"61J2"	"918551000000103"	"Progestogen only oral contraceptive contraindicated"	"2358721000000117"
"61KC"	"711361000000107"	"Insertion of subcutaneous contraceptive implant by other healthcare provider"	"1555641000000111"
"61KF"	"718351000000102"	"Removal of subcutaneous contraceptive implant by other healthcare provider"	"1573431000000119"
"61KH"	"861201000000104"	"Subcutaneous contraceptive implant not palpable"	"2227171000000111"
"61KJ"	"1034831000000103"	"Subcutaneous contraceptive change due date"	"2612431000000112"
"61Q"	"755061000000101"	"Partner contraception"	"1661521000000116"
"61S"	"767761000000100"	"Contraception method not decided"	"1710211000000112"
"61V"	"767981000000107"	"Problem with contraception"	"1714001000000112"
"61W"	"775701000000100"	"United Kingdom medical eligibility criteria for contraceptive use 2009 risk category"	"1732771000000117"
"61W0"	"775721000000109"	"United Kingdom medical eligibility criteria for contraceptive use 2009 category 1"	"1732811000000117"
"61W1"	"775741000000102"	"United Kingdom medical eligibility criteria for contraceptive use 2009 category 2"	"1732851000000118"
"61W2"	"775761000000101"	"United Kingdom medical eligibility criteria for contraceptive use 2009 category 3"	"1732891000000114"
"61W3"	"775781000000105"	"United Kingdom medical eligibility criteria for contraceptive use 2009 category 4"	"1732931000000116"
"6291"	"1103901000000100"	"Antenatal care not offered"	"2763471000000111"
"62D1"	"1104641000000105"	"Parent craft classes offered"	"2765281000000113"
"62F2"	"1104711000000103"	"Amniocentesis offered"	"2765241000000117"
"62G2"	"1104661000000106"	"Antenatal ultrasound scan offered"	"2765141000000110"
"62H2"	"1104721000000109"	"Antenatal RhD (Rhesus D) antibody screening offered"	"2765261000000116"
"62I1"	"1104701000000100"	"AFP (alpha-fetoprotein) blood test offered"	"2765221000000112"
"62J"	"1009261000000102"	"Rubella screening test"	"2574041000000119"
"62J2"	"1104691000000100"	"Rubella screening offered"	"2765201000000115"
"62NJ"	"861281000000109"	"Antenatal 22 week examination"	"2227331000000112"
"62NK"	"861301000000105"	"Antenatal 25 week examination"	"2227371000000114"
"62NL"	"861321000000101"	"Antenatal 31 week examination"	"2227411000000113"
"62O9"	"14191000000101"	"Initial booking of patient"	"34151000000116"
"62P30"	"365091000000100"	"Breastfeeding and supplementary bottle feeding at discharge from hospital"	"688821000000113"
"62PE"	"364991000000100"	"Breastfeeding at discharge from hospital"	"688621000000112"
"62PF"	"365171000000100"	"Bottle feeding at discharge from hospital"	"688981000000119"
"62U0"	"1104651000000108"	"Triple test offered"	"2765121000000115"
"62U1"	"1104681000000102"	"Double test offered"	"2765181000000119"
"62X6"	"925561000000100"	"Gestation less than 28 weeks"	"2373411000000113"
"6317"	"918911000000106"	"Born in transit to hospital"	"2359441000000114"
"6318"	"918931000000103"	"Born in hospital"	"2359481000000118"
"633C"	"921611000000101"	"Intrapartum stillbirth"	"2365241000000118"
"635C"	"384321000000100"	"Preterm"	"758341000000111"
"635C"	"384321000000100"	"Preterm infant status"	"758321000000116"
"63CG"	"921841000000101"	"One of quadruplets"	"2365731000000115"
"63CH"	"921861000000100"	"One of quintuplets"	"2365771000000118"
"63CJ"	"921881000000109"	"One of sextuplets"	"2365811000000118"
"63CK"	"921901000000107"	"One of septuplets"	"2365851000000119"
"63CL"	"790111000000101"	"One of multiple birth"	"1766411000000112"
"64"	"299851000000105"	"Paediatric surveillance"	"530851000000118"
"648R"	"925971000000101"	"Mid-parental centile"	"2374231000000116"
"64a1"	"1103891000000101"	"Child 8 week examination not offered"	"2763451000000119"
"64a8"	"817681000000100"	"Not smiling by 8 weeks old"	"2130061000000118"
"64b0"	"1103681000000104"	"Child 7 month examination not offered"	"2762971000000112"
"64B6"	"955251000000102"	"New birth examination completed by other healthcare provider"	"2436241000000114"
"64c0"	"931311000000105"	"Unseen child protocol"	"2386721000000110"
"64c1"	"931351000000109"	"Comprehensive medical assessment"	"2386801000000112"
"64d0"	"955431000000105"	"Child 2 year examination completed by other healthcare provider"	"2436601000000113"
"64D1"	"1103871000000100"	"Child 6 week examination not offered"	"2763411000000118"
"64D9"	"962941000000105"	"Child 6 week examination completed by other healthcare provider"	"2453571000000110"
"64E1"	"1103921000000109"	"Child 8-9 month examination not offered"	"2763521000000113"
"64F1"	"1103931000000106"	"Child 18 month examination not offered"	"2763541000000118"
"64f1"	"491941000000101"	"Bottle fed at 4 months"	"1059161000000116"
"64f2"	"491931000000105"	"Breast and supplementary bottle fed at 4 months"	"1059141000000117"
"64g"	"925931000000103"	"Mid-parental height"	"2374151000000117"
"64G1"	"1104031000000108"	"Child 2.5 year examination not offered"	"2763741000000110"
"64h"	"925951000000105"	"Predicted adult height"	"2374191000000113"
"64H1"	"1103941000000102"	"Child 3.5 year examination not offered"	"2763561000000117"
"64i"	"925991000000102"	"Centile age adjustment for gestational age"	"2374271000000119"
"64I1"	"1103951000000104"	"Child 4.5 year examination not offered"	"2763581000000114"
"64j"	"926081000000108"	"Down's syndrome height centile"	"2376321000000116"
"64J1"	"1103961000000101"	"Child 10 year examination not offered"	"2763601000000117"
"64k"	"926111000000100"	"Down's syndrome weight centile"	"2376331000000119"
"64K1"	"1103971000000108"	"Child 15 year examination not offered"	"2763621000000114"
"64P6"	"320651000000100"	"Child health screening of social behaviour and play development"	"586311000000117"
"64Q5"	"1052781000000102"	"Referral to health visitor"	"2649721000000116"
"64U1"	"1103981000000105"	"Child 1 year examination not offered"	"2763641000000119"
"64U8"	"955371000000101"	"Child 1 year examination completed by other healthcare provider"	"2436481000000117"
"64V1"	"1103991000000107"	"Child 6 month examination not offered"	"2763661000000118"
"64W1"	"1104001000000102"	"Child 21 month examination not offered"	"2763681000000110"
"64X1"	"1104011000000100"	"Child 3 year examination not offered"	"2763701000000112"
"64Y1"	"1104021000000106"	"Child 39 month examination not offered"	"2763721000000115"
"6525"	"843231000000104"	"Oral typhoid vaccination"	"2187211000000116"
"6555"	"908671000000105"	"Pertussis vaccination given by other healthcare provider"	"2335841000000112"
"6556"	"956951000000104"	"Pertussis vaccination in pregnancy"	"2439831000000114"
"65560"	"956971000000108"	"Pertussis vaccination in pregnancy given by other healthcare provider"	"2439871000000111"
"65712"	"957541000000105"	"Third meningitis B vaccination"	"2441231000000112"
"65713"	"957561000000106"	"Fourth meningitis B vaccination"	"2441271000000114"
"65714"	"957581000000102"	"Meningitis B vaccination given by other healthcare provider"	"2441311000000114"
"65715"	"958381000000107"	"First meningitis B vaccination given by other healthcare provider"	"2443231000000113"
"65716"	"958401000000107"	"Second meningitis B vaccination given by other healthcare provider"	"2443271000000110"
"65717"	"958421000000103"	"Third meningitis B vaccination given by other healthcare provider"	"2443311000000110"
"65718"	"958441000000105"	"Fourth meningitis B vaccination given by other healthcare provider"	"2443351000000114"
"65719"	"1037011000000108"	"Booster meningitis B vaccination given by other healthcare provider"	"2617311000000110"
"657J0"	"957671000000103"	"First meningitis ACW & Y vaccination"	"2441511000000118"
"657J1"	"957691000000104"	"Second meningitis ACW & Y vaccination"	"2441551000000119"
"657J2"	"957711000000102"	"Third meningitis ACW & Y vaccination"	"2441591000000110"
"657J3"	"957731000000105"	"Fourth meningitis ACW & Y vaccination"	"2441631000000110"
"657J4"	"957751000000103"	"Meningitis ACW & Y vaccination given by other healthcare provider"	"2441681000000114"
"657J5"	"957791000000106"	"Meningitis ACW & Y vaccination declined"	"2441761000000110"
"657L"	"247631000000101"	"First pneumococcal conjugated vaccination"	"405281000000118"
"657M"	"247641000000105"	"Second pneumococcal conjugated vaccination"	"405301000000117"
"657N"	"247651000000108"	"Third pneumococcal conjugated vaccination"	"405321000000114"
"657Q"	"516301000000101"	"Recombinant meningococcal group B and outer membrane vesicle vaccination"	"1149691000000113"
"657R"	"820741000000108"	"Supplemental pneumococcal conjugated vaccination"	"2137511000000112"
"657S0"	"882761000000103"	"Booster meningitis C vaccination given by other healthcare provider"	"2276451000000114"
"65a3"	"310551000000106"	"Booster diphtheria tetanus and five component acellular pertussis, haemophilus influenzae type b, inactivated polio vaccination"	"559461000000112"
"65c0"	"309931000000101"	"Methicillin resistant staphylococcus aureus decontamination therapy"	"607001000000111"
"65c0"	"309931000000101"	"Meticillin resistant staphylococcus aureus decontamination therapy"	"557971000000116"
"65c0"	"309931000000101"	"MRSA decontamination therapy"	"558091000000119"
"65C0"	"921761000000109"	"Booster yellow fever vaccination"	"2365571000000114"
"65d0"	"868631000000102"	"First rotavirus vaccination"	"2244981000000119"
"65d1"	"868651000000109"	"Second rotavirus vaccination"	"2245021000000115"
"65d2"	"868671000000100"	"Rotavirus vaccination given by other health care provider"	"2245061000000111"
"65d20"	"1036721000000101"	"First rotavirus vaccination given by other health care provider"	"2616701000000114"
"65d21"	"1036741000000108"	"Second rotavirus vaccination given by other health care provider"	"2616741000000112"
"65D5"	"891871000000108"	"Fourth rabies vaccination"	"2296681000000114"
"65D6"	"891891000000107"	"Fifth rabies vaccination"	"2296731000000117"
"65E0"	"202301000000106"	"First pandemic influenza vaccination"	"308411000000113"
"65E00"	"884821000000108"	"Administration of first intranasal pandemic influenza vaccination"	"2280851000000117"
"65E1"	"202311000000108"	"Second pandemic influenza vaccination"	"308441000000114"
"65E10"	"884841000000101"	"Administration of second intranasal pandemic influenza vaccination"	"2280891000000113"
"65E2"	"955641000000103"	"Influenza vaccination given by other healthcare provider"	"2437071000000113"
"65E20"	"955651000000100"	"Seasonal influenza vaccination given by other healthcare provider"	"2437091000000112"
"65E21"	"955661000000102"	"First intranasal seasonal influenza vaccination given by other healthcare provider"	"2437111000000119"
"65E22"	"955681000000106"	"Second intranasal seasonal influenza vaccination given by other healthcare provider"	"2437151000000115"
"65E23"	"955671000000109"	"Second intramuscular seasonal influenza vaccination given by other healthcare provider"	"2437131000000110"
"65E24"	"945831000000105"	"First intramuscular seasonal influenza vaccination given by other healthcare provider"	"2418881000000114"
"65E3"	"380741000000101"	"First pandemic influenza vaccination given by other healthcare provider"	"750261000000118"
"65E30"	"884901000000107"	"First intranasal pandemic influenza vaccination given by other healthcare provider"	"2281011000000118"
"65E4"	"380771000000107"	"Second pandemic influenza vaccination given by other healthcare provider"	"750341000000114"
"65E40"	"884921000000103"	"Second intranasal pandemic influenza vaccination given by other healthcare provider"	"2281051000000119"
"65E5"	"515291000000105"	"CELVAPAN - first influenza A (H1N1v) 2009 vaccination given"	"1145841000000119"
"65E6"	"515321000000100"	"CELVAPAN - second influenza A (H1N1v) 2009 vaccination given"	"1145881000000110"
"65E7"	"515331000000103"	"CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider"	"1145901000000113"
"65E8"	"515351000000105"	"CELVAPAN - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider"	"1145941000000111"
"65E9"	"515281000000108"	"PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given"	"1145821000000114"
"65EA"	"515301000000109"	"PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given"	"1145861000000118"
"65EB"	"515341000000107"	"PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider"	"1145921000000116"
"65EC"	"515361000000108"	"PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider"	"1145961000000112"
"65ED"	"822851000000102"	"Seasonal influenza vaccination"	"2142081000000112"
"65ED0"	"955691000000108"	"Seasonal influenza vaccination given by pharmacist"	"2437171000000112"
"65ED1"	"884861000000100"	"Administration of first intranasal seasonal influenza vaccination"	"2280931000000115"
"65ED2"	"955701000000108"	"Seasonal influenza vaccination given while hospital inpatient"	"2437191000000111"
"65ED3"	"884881000000109"	"Administration of second intranasal seasonal influenza vaccination"	"2280971000000118"
"65ED4"	"985151000000100"	"Administration of first inactivated seasonal influenza vaccination"	"2505331000000118"
"65ED5"	"985171000000109"	"Administration of second inactivated seasonal influenza vaccination"	"2505371000000116"
"65ED6"	"1037311000000106"	"First intranasal seasonal influenza vaccination given by pharmacist"	"2618081000000118"
"65ED7"	"1037331000000103"	"Second intranasal seasonal influenza vaccination given by pharmacist"	"2618121000000115"
"65ED8"	"1037351000000105"	"First inactivated seasonal influenza vaccination given by pharmacist"	"2618161000000111"
"65ED9"	"1037371000000101"	"Second inactivated seasonal influenza vaccination given by pharmacist"	"2618201000000115"
"65EE0"	"871751000000104"	"Administration of first intranasal influenza vaccination"	"2252131000000112"
"65EE1"	"871781000000105"	"Administration of second intranasal influenza vaccination"	"2252191000000113"
"65f"	"768401000000107"	"Initiation of partner notification"	"1714851000000119"
"65F10"	"865061000000108"	"First hepatitis B junior vaccination"	"2236311000000116"
"65F11"	"1037211000000101"	"First hepatitis B vaccination given by other healthcare provider"	"2617881000000111"
"65F20"	"865081000000104"	"Second hepatitis B junior vaccination"	"2236351000000117"
"65F21"	"1037231000000109"	"Second hepatitis B vaccination given by other healthcare provider"	"2617921000000117"
"65F30"	"865101000000105"	"Third hepatitis B junior vaccination"	"2236391000000113"
"65F60"	"865121000000101"	"Fourth hepatitis B junior vaccination"	"2236431000000117"
"65Fa"	"965851000000105"	"Human papillomavirus vaccination given by other healthcare provider"	"2459971000000119"
"65FX0"	"783521000000106"	"First tick-borne encephalitis vaccination"	"1752041000000110"
"65FX1"	"783541000000104"	"Second tick-borne encephalitis vaccination"	"1752081000000119"
"65FX2"	"783561000000103"	"Third tick-borne encephalitis vaccination"	"1752121000000116"
"65FY"	"859641000000109"	"Herpes zoster vaccination"	"2223901000000112"
"65FY"	"859641000000109"	"Shingles vaccination"	"2229311000000111"
"65FY0"	"868511000000106"	"Herpes zoster vaccination given by other health care provider"	"2244701000000110"
"65g"	"894471000000108"	"Disposable device used"	"2302171000000110"
